City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
1832008,Tokusan-ri,128.7,35.1333,500,Rain,293.14,84,10000,1.84,100,2023-09-21 11:49:20,2023-09-21 20:49:20
1832015,Heunghae,129.3522,36.1125,500,Rain,292.77,72,10000,3.24,100,2023-09-21 11:46:02,2023-09-21 20:46:02
1832157,Reisui,127.7378,34.7442,500,Rain,293.23,90,10000,2.66,100,2023-09-21 11:48:56,2023-09-21 20:48:56
1832215,Yeonil,129.345,35.9942,500,Rain,292.76,72,10000,2.29,100,2023-09-21 11:46:02,2023-09-21 20:46:02
1832257,Neietsu,128.4682,37.1845,804,Clouds,285.21,86,10000,1.34,100,2023-09-21 11:48:53,2023-09-21 20:48:53
1832384,Yeongju,128.6308,36.8217,804,Clouds,290.98,87,10000,0.96,100,2023-09-21 11:47:58,2023-09-21 20:47:58
1832427,Yongin,127.2064,37.2342,800,Clear,291.33,88,10000,0.51,0,2023-09-21 11:36:42,2023-09-21 20:36:42
1832501,Yeonggwang,126.5094,35.275,804,Clouds,293.96,80,10000,2.23,100,2023-09-21 11:49:23,2023-09-21 20:49:23
1832566,Yeongdong,127.7764,36.175,804,Clouds,291.47,91,10000,0.95,100,2023-09-21 11:49:24,2023-09-21 20:49:24
1832384,Yeongju,128.6308,36.8217,804,Clouds,290.98,87,10000,0.96,100,2023-09-21 11:47:58,2023-09-21 20:47:58
1832663,Yeongam-guncheong,126.7,34.7983,804,Clouds,294.05,82,10000,1.69,100,2023-09-21 11:49:25,2023-09-21 20:49:25
1832697,Yeoncheon-gun,127.0758,38.094,804,Clouds,290.34,80,10000,0.7,98,2023-09-21 11:48:04,2023-09-21 20:48:04
1832743,Yeoju,127.6339,37.2958,802,Clouds,288.9,94,10000,0.51,40,2023-09-21 11:45:56,2023-09-21 20:45:56
1832771,Yesan,126.8427,36.6776,804,Clouds,292.98,86,10000,0.62,93,2023-09-21 11:47:23,2023-09-21 20:47:23
1832798,Yecheon,128.4569,36.6556,804,Clouds,291.17,89,10000,0.85,100,2023-09-21 11:49:27,2023-09-21 20:49:27
1832809,Yangyang,128.6211,38.0739,804,Clouds,289.48,88,10000,3.09,100,2023-09-21 11:49:28,2023-09-21 20:49:28
