City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
1832008,Tokusan-ri,128.7,35.1333,801,Clouds,301.14,68,10000,2.42,19,2023-09-10 08:21:46,2023-09-10 17:21:46
1832015,Heunghae,129.3522,36.1125,801,Clouds,298.56,67,10000,2.6,11,2023-09-10 08:21:47,2023-09-10 17:21:47
1832157,Reisui,127.7378,34.7442,800,Clear,298.77,68,10000,2.65,8,2023-09-10 08:21:47,2023-09-10 17:21:47
1832215,Yeonil,129.345,35.9942,800,Clear,298.78,68,10000,3.07,10,2023-09-10 08:21:11,2023-09-10 17:21:11
1832257,Neietsu,128.4682,37.1845,803,Clouds,293.21,61,10000,1.3,68,2023-09-10 08:21:49,2023-09-10 17:21:49
1832384,Yeongju,128.6308,36.8217,802,Clouds,300.68,62,10000,1.19,48,2023-09-10 08:21:49,2023-09-10 17:21:49
1832427,Yongin,127.2064,37.2342,800,Clear,302.54,61,10000,1.03,0,2023-09-10 08:19:51,2023-09-10 17:19:51
1832501,Yeonggwang,126.5094,35.275,804,Clouds,300.96,74,10000,2.75,100,2023-09-10 08:21:50,2023-09-10 17:21:50
1832566,Yeongdong,127.7764,36.175,802,Clouds,302.47,65,10000,2.4,40,2023-09-10 08:21:51,2023-09-10 17:21:51
1832384,Yeongju,128.6308,36.8217,802,Clouds,300.68,62,10000,1.19,48,2023-09-10 08:21:49,2023-09-10 17:21:49
1832663,Yeongam-guncheong,126.7,34.7983,804,Clouds,301.05,73,10000,2.63,97,2023-09-10 08:21:52,2023-09-10 17:21:52
1832697,Yeoncheon-gun,127.0758,38.094,804,Clouds,303.34,70,10000,2.17,100,2023-09-10 08:21:53,2023-09-10 17:21:53
1832743,Yeoju,127.6339,37.2958,800,Clear,300.61,65,10000,1.03,0,2023-09-10 08:21:53,2023-09-10 17:21:53
1832771,Yesan,126.8427,36.6776,804,Clouds,301.98,68,10000,2.13,95,2023-09-10 08:21:21,2023-09-10 17:21:21
1832798,Yecheon,128.4569,36.6556,802,Clouds,300.68,63,10000,1.09,45,2023-09-10 08:21:54,2023-09-10 17:21:54
1832809,Yangyang,128.6211,38.0739,802,Clouds,297.48,73,10000,2.57,40,2023-09-10 08:21:55,2023-09-10 17:21:55
1832828,Yangsan,129.0386,35.3386,803,Clouds,301.11,61,10000,3.6,75,2023-09-10 08:17:03,2023-09-10 17:17:03
1832830,Yangp'yŏng,127.4906,37.4897,800,Clear,300.68,65,10000,1.03,0,2023-09-10 08:20:22,2023-09-10 17:20:22
1832847,Yangju,127.0617,37.8331,804,Clouds,303.25,54,10000,2.56,100,2023-09-10 08:18:25,2023-09-10 17:18:25
1787601,Yanggu,115.7753,36.1106,803,Clouds,301.2,61,10000,1.2,56,2023-09-10 08:21:57,2023-09-10 17:21:57
1832973,Yach’on,126.8158,35.1303,804,Clouds,301.14,76,10000,2.64,99,2023-09-10 08:19:47,2023-09-10 17:19:47
1833105,Wŏnju,127.9453,37.3514,803,Clouds,300.04,65,10000,1.43,56,2023-09-10 08:21:59,2023-09-10 17:21:59
1833466,Wanju,127.1475,35.8451,802,Clouds,299.86,77,10000,2.75,49,2023-09-10 08:21:59,2023-09-10 17:21:59
1833514,Chilgok,128.3973,35.9917,801,Clouds,304.2,57,10000,1.4,20,2023-09-10 08:21:59,2023-09-10 17:21:59
1833581,Unsal-li,127.2047,38.0542,803,Clouds,302.99,65,10000,1.03,75,2023-09-10 08:22:00,2023-09-10 17:22:00
1833702,Umulmok,127.3167,38.05,803,Clouds,301.51,65,10000,1.03,75,2023-09-10 08:22:02,2023-09-10 17:22:02
1833747,Ulsan,129.3167,35.5372,802,Clouds,298.93,72,10000,2.85,40,2023-09-10 08:19:18,2023-09-10 17:19:18
1833747,Ulsan,129.3167,35.5372,802,Clouds,298.93,72,10000,2.85,40,2023-09-10 08:19:18,2023-09-10 17:19:18
1833763,Ulchin,129.4,36.9929,801,Clouds,297.62,69,10000,2.01,23,2023-09-10 08:14:08,2023-09-10 17:14:08
1833788,Uijeongbu-si,127.0474,37.7415,804,Clouds,300.45,46,10000,2.7,100,2023-09-10 08:19:12,2023-09-10 17:19:12
1834885,Tangjin,126.6297,36.8944,804,Clouds,302.05,67,10000,2.96,99,2023-09-10 08:22:04,2023-09-10 17:22:04
1835096,Taesal-li,126.4542,36.9714,804,Clouds,297.49,71,10000,3.33,100,2023-09-10 08:22:05,2023-09-10 17:22:05
1835224,Daejeon,127.4167,36.3333,802,Clouds,301.37,63,10000,1.16,42,2023-09-10 08:12:11,2023-09-10 17:12:11
1835224,Daejeon,127.4167,36.3333,802,Clouds,301.37,63,10000,1.16,42,2023-09-10 08:12:11,2023-09-10 17:12:11
1835327,Daegu,128.55,35.8,802,Clouds,303.62,42,10000,1.54,40,2023-09-10 08:17:47,2023-09-10 17:17:47
1835327,Daegu,128.55,35.8,802,Clouds,303.62,42,10000,1.54,40,2023-09-10 08:17:47,2023-09-10 17:17:47
1835447,Boryeong,126.5977,36.3493,804,Clouds,300.13,69,10000,2.6,94,2023-09-10 08:22:08,2023-09-10 17:22:08
1835515,T’aebaek,128.9889,37.1759,804,Clouds,295.27,74,10000,1.53,91,2023-09-10 08:22:08,2023-09-10 17:22:08
1793724,Tai’an,117.12,36.1853,803,Clouds,301.57,56,10000,1.59,70,2023-09-10 08:19:19,2023-09-10 17:19:19
1835553,Suwon-si,127.0089,37.2911,800,Clear,302.67,61,10000,1.03,0,2023-09-10 08:08:51,2023-09-10 17:08:51
1835648,Suncheon,127.4895,34.9481,801,Clouds,300.83,57,10000,2.55,22,2023-09-10 08:22:10,2023-09-10 17:22:10
1835650,Sunchang-chodeunghakgyo,127.1428,35.3736,803,Clouds,299.5,76,10000,2.21,61,2023-09-10 08:22:10,2023-09-10 17:22:10
1835841,Republic of Korea,127.5,37.0,801,Clouds,302.66,64,10000,1.69,14,2023-09-10 08:20:03,2023-09-10 17:20:03
1835848,Seoul,126.9778,37.5683,800,Clear,300.56,61,10000,3.6,0,2023-09-10 08:13:15,2023-09-10 17:13:15
1835848,Seoul,126.9778,37.5683,800,Clear,300.56,61,10000,3.6,0,2023-09-10 08:13:15,2023-09-10 17:13:15
1835895,Seosan City,126.4522,36.7817,804,Clouds,298.29,63,10000,2.21,100,2023-09-10 08:17:38,2023-09-10 17:17:38
1835967,Seonsan,128.2975,36.2408,800,Clear,302.96,51,10000,0.51,0,2023-09-10 08:22:13,2023-09-10 17:22:13
1836034,Seisan-ri,128.0667,35.1,801,Clouds,301.05,66,10000,1.95,17,2023-09-10 08:22:14,2023-09-10 17:22:14
1836164,Songjeong,129.3572,35.5892,802,Clouds,298.73,73,10000,3.04,45,2023-09-10 08:22:14,2023-09-10 17:22:14
1836208,Seonghwan,127.1314,36.9156,800,Clear,302.4,70,10000,4.12,0,2023-09-10 08:22:15,2023-09-10 17:22:15
1836553,Sokcho,128.5911,38.2083,802,Clouds,297.49,73,10000,2.57,40,2023-09-10 08:14:13,2023-09-10 17:14:13
1837055,Yongsan,126.9667,37.5333,800,Clear,300.93,61,10000,3.6,0,2023-09-10 08:22:16,2023-09-10 17:22:16
1837217,Sinch’ŏn-dong,127.0833,37.5167,804,Clouds,301.9,49,10000,3.36,92,2023-09-10 08:19:14,2023-09-10 17:19:14
1837640,Sangok,127.6167,34.8333,800,Clear,299.92,63,10000,2.84,9,2023-09-10 08:22:17,2023-09-10 17:22:17
1837660,Sang-ni,128.1062,36.2511,800,Clear,302.12,51,10000,0.51,0,2023-09-10 08:22:17,2023-09-10 17:22:17
1837706,Sangju,128.1606,36.4153,801,Clouds,302.92,63,10000,0.13,16,2023-09-10 08:22:18,2023-09-10 17:22:18
1838069,Samcheok,129.1708,37.4406,804,Clouds,297.33,71,10000,2.02,86,2023-09-10 08:22:18,2023-09-10 17:22:18
1838294,Shisen,128.0886,35.0842,801,Clouds,301.17,67,10000,1.91,18,2023-09-10 08:22:19,2023-09-10 17:22:19
1838343,Pyeongtaek-si,127.0889,36.9947,800,Clear,302.56,66,10000,4.12,0,2023-09-10 08:20:01,2023-09-10 17:20:01
1838431,Pyeong,127.0,37.0,800,Clear,302.61,66,10000,4.12,0,2023-09-10 08:22:20,2023-09-10 17:22:20
1838508,Buyeo,126.9125,36.2819,803,Clouds,300.05,72,10000,2.82,56,2023-09-10 08:22:20,2023-09-10 17:22:20
1838524,Busan,129.0403,35.1028,803,Clouds,301.14,61,10000,3.6,75,2023-09-10 08:13:19,2023-09-10 17:13:19
1838524,Busan,129.0403,35.1028,803,Clouds,301.14,61,10000,3.6,75,2023-09-10 08:13:19,2023-09-10 17:13:19
1838716,Bucheon-si,126.7831,37.4989,800,Clear,300.16,61,10000,3.6,0,2023-09-10 08:22:22,2023-09-10 17:22:22
1838722,Puan,126.7319,35.7281,804,Clouds,300.09,74,10000,3.28,93,2023-09-10 08:22:22,2023-09-10 17:22:22
1838740,Boseong,127.0809,34.7697,804,Clouds,298.96,66,10000,0.63,85,2023-09-10 08:22:23,2023-09-10 17:22:23
1839011,Beolgyo,127.3429,34.8449,802,Clouds,300.41,61,10000,2.01,39,2023-09-10 08:22:23,2023-09-10 17:22:23
1839071,Pohang,129.365,36.0322,800,Clear,298.67,68,10000,2.91,10,2023-09-10 08:14:03,2023-09-10 17:14:03
1839652,Osan,127.0706,37.1522,800,Clear,302.81,62,10000,4.12,0,2023-09-10 08:17:51,2023-09-10 17:17:51
1839726,Asan,127.0042,36.7836,804,Clouds,302.21,69,10000,2.21,96,2023-09-10 08:20:54,2023-09-10 17:20:54
1839873,Okcheon,127.568,36.3012,801,Clouds,302.85,59,10000,0.46,24,2023-09-10 08:22:25,2023-09-10 17:22:25
1840179,Kosong,128.4676,38.3788,801,Clouds,297.42,73,10000,1.63,18,2023-09-10 08:22:25,2023-09-10 17:22:25
1840211,Nonsan,127.0847,36.2039,802,Clouds,300.12,74,10000,2.88,49,2023-09-10 08:19:50,2023-09-10 17:19:50
2042503,Namyang,129.8667,42.95,501,Rain,293.27,92,10000,1.96,100,2023-09-10 08:22:27,2023-09-10 17:22:27
1840379,Nangen,127.3858,35.41,803,Clouds,299.84,72,10000,1.05,53,2023-09-10 08:22:27,2023-09-10 17:22:27
1840421,Namp’o-ri,126.7908,35.8119,800,Clear,300.16,61,10000,4.63,0,2023-09-10 08:22:28,2023-09-10 17:22:28
1840454,Namhae,127.8944,34.8394,802,Clouds,299.47,67,10000,2.05,28,2023-09-10 08:22:28,2023-09-10 17:22:28
1840536,Naju,126.7175,35.0283,804,Clouds,301.05,74,10000,3.17,99,2023-09-10 08:17:54,2023-09-10 17:17:54
1840862,Munsan,126.785,37.8594,804,Clouds,300.13,59,10000,3.34,100,2023-09-10 08:22:29,2023-09-10 17:22:29
1840886,Mungyeong,128.1995,36.5946,802,Clouds,302.8,63,10000,0.43,25,2023-09-10 08:22:28,2023-09-10 17:22:28
1840898,Paju,126.775,37.7611,804,Clouds,300.13,51,10000,3.4,100,2023-09-10 08:22:30,2023-09-10 17:22:30
1840942,Muju,127.6614,36.0072,804,Clouds,302.03,75,10000,0.41,92,2023-09-10 08:22:31,2023-09-10 17:22:31
1840982,Muan,126.4714,34.9897,800,Clear,301.09,61,10000,4.12,0,2023-09-10 08:19:30,2023-09-10 17:19:30
1841066,Mokpo,126.3886,34.7936,804,Clouds,301.18,73,10000,3.48,98,2023-09-10 08:21:15,2023-09-10 17:21:15
1841149,Miryang,128.7489,35.4933,802,Clouds,302.0,67,10000,1.25,36,2023-09-10 08:22:32,2023-09-10 17:22:32
1841245,Masan,128.5725,35.2081,803,Clouds,300.99,70,10000,1.8,60,2023-09-10 08:21:44,2023-09-10 17:21:44
1841597,Gyeongsangbuk-do,128.75,36.3333,803,Clouds,300.36,62,10000,1.32,51,2023-09-10 08:08:20,2023-09-10 17:08:20
1841598,Gyeongsan-si,128.7378,35.8233,802,Clouds,304.01,42,10000,1.54,40,2023-09-10 08:18:27,2023-09-10 17:18:27
1841603,Gyeongju,129.2117,35.8428,803,Clouds,298.8,70,10000,2.53,52,2023-09-10 08:15:35,2023-09-10 17:15:35
1841610,Gyeonggi-do,127.25,37.6,804,Clouds,302.2,54,10000,1.69,88,2023-09-10 08:08:46,2023-09-10 17:08:46
1841775,Kwangyang,127.5892,34.9753,801,Clouds,300.74,57,10000,2.22,15,2023-09-10 08:22:35,2023-09-10 17:22:35
1841811,Gwangju,126.9156,35.1547,804,Clouds,298.62,79,10000,2.09,99,2023-09-10 08:19:51,2023-09-10 17:19:51
1841811,Gwangju,126.9156,35.1547,804,Clouds,298.62,79,10000,2.09,99,2023-09-10 08:19:51,2023-09-10 17:19:51
