City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
1832008,Tokusan-ri,128.7,35.1333,800,Clear,296.23,74,10000,2.44,1,2023-09-09 11:06:29,2023-09-09 20:06:29
1832015,Heunghae,129.3522,36.1125,800,Clear,294.17,80,10000,1.34,0,2023-09-09 11:07:12,2023-09-09 20:07:12
1832157,Reisui,127.7378,34.7442,800,Clear,296.24,68,10000,1.63,0,2023-09-09 11:09:29,2023-09-09 20:09:29
1832215,Yeonil,129.345,35.9942,800,Clear,293.76,80,10000,1.24,0,2023-09-09 11:09:29,2023-09-09 20:09:29
1832257,Neietsu,128.4682,37.1845,800,Clear,290.21,86,10000,1.17,2,2023-09-09 11:09:30,2023-09-09 20:09:30
1832384,Yeongju,128.6308,36.8217,800,Clear,293.57,87,10000,1.22,0,2023-09-09 11:09:30,2023-09-09 20:09:30
1832427,Yongin,127.2064,37.2342,803,Clouds,298.53,78,10000,0.51,75,2023-09-09 11:08:45,2023-09-09 20:08:45
1832501,Yeonggwang,126.5094,35.275,802,Clouds,294.96,79,10000,1.05,28,2023-09-09 11:09:07,2023-09-09 20:09:07
1832566,Yeongdong,127.7764,36.175,800,Clear,296.47,83,10000,0.51,3,2023-09-09 11:09:32,2023-09-09 20:09:32
1832384,Yeongju,128.6308,36.8217,800,Clear,293.57,87,10000,1.22,0,2023-09-09 11:09:30,2023-09-09 20:09:30
1832663,Yeongam-guncheong,126.7,34.7983,802,Clouds,295.28,83,10000,0.69,31,2023-09-09 11:09:33,2023-09-09 20:09:33
1832697,Yeoncheon-gun,127.0758,38.094,802,Clouds,298.34,84,10000,0.8,43,2023-09-09 11:09:33,2023-09-09 20:09:33
1832743,Yeoju,127.6339,37.2958,800,Clear,294.61,94,10000,0.0,0,2023-09-09 11:09:11,2023-09-09 20:09:11
1832771,Yesan,126.8427,36.6776,803,Clouds,297.98,84,10000,0.63,54,2023-09-09 11:09:34,2023-09-09 20:09:34
1832798,Yecheon,128.4569,36.6556,800,Clear,294.39,85,10000,1.06,0,2023-09-09 11:09:34,2023-09-09 20:09:34
1832809,Yangyang,128.6211,38.0739,800,Clear,293.87,84,10000,1.59,6,2023-09-09 11:09:35,2023-09-09 20:09:35
1832828,Yangsan,129.0386,35.3386,800,Clear,294.77,80,10000,1.62,0,2023-09-09 11:06:00,2023-09-09 20:06:00
1832830,Yangp'yŏng,127.4906,37.4897,800,Clear,294.68,94,10000,0.0,0,2023-09-09 11:05:03,2023-09-09 20:05:03
1832847,Yangju,127.0617,37.8331,802,Clouds,298.25,71,10000,1.19,48,2023-09-09 11:08:07,2023-09-09 20:08:07
1787601,Yanggu,115.7753,36.1106,804,Clouds,299.36,60,10000,1.91,91,2023-09-09 11:09:37,2023-09-09 20:09:37
1832973,Yach’on,126.8158,35.1303,801,Clouds,295.1,84,10000,0.81,22,2023-09-09 11:09:37,2023-09-09 20:09:37
1833105,Wŏnju,127.9453,37.3514,800,Clear,294.04,86,10000,0.34,8,2023-09-09 11:05:52,2023-09-09 20:05:52
