City ID,City Name,Lon,Lat,Weather ID,Weather Main,Temperature (K),Humidity (%),Visibility (m),Wind Speed (m/s),Clouds (%),Date (Unix),Timezone (s)
1832008,Tokusan-ri,128.7,35.1333,804,Clouds,302.14,78,10000,2.09,100,2023-09-13 08:22:28,2023-09-13 17:22:28
1832015,Heunghae,129.3522,36.1125,501,Rain,296.4,88,10000,4.98,100,2023-09-13 08:26:23,2023-09-13 17:26:23
1832157,Reisui,127.7378,34.7442,804,Clouds,297.62,80,10000,4.0,100,2023-09-13 08:26:44,2023-09-13 17:26:44
1832215,Yeonil,129.345,35.9942,501,Rain,296.9,85,10000,4.6,100,2023-09-13 08:25:14,2023-09-13 17:25:14
1832257,Neietsu,128.4682,37.1845,501,Rain,290.21,98,10000,1.26,100,2023-09-13 08:26:44,2023-09-13 17:26:44
1832384,Yeongju,128.6308,36.8217,501,Rain,292.52,97,10000,1.94,100,2023-09-13 08:24:42,2023-09-13 17:24:42
1832427,Yongin,127.2064,37.2342,701,Mist,293.37,94,3200,1.03,100,2023-09-13 08:26:36,2023-09-13 17:26:36
1832501,Yeonggwang,126.5094,35.275,501,Rain,294.96,97,7219,2.35,100,2023-09-13 08:26:00,2023-09-13 17:26:00
1832566,Yeongdong,127.7764,36.175,804,Clouds,296.47,97,10000,1.48,100,2023-09-13 08:26:46,2023-09-13 17:26:46
1832384,Yeongju,128.6308,36.8217,501,Rain,292.52,97,10000,1.94,100,2023-09-13 08:24:42,2023-09-13 17:24:42
1832663,Yeongam-guncheong,126.7,34.7983,500,Rain,295.05,80,10000,1.22,100,2023-09-13 08:26:47,2023-09-13 17:26:47
1832697,Yeoncheon-gun,127.0758,38.094,501,Rain,294.34,94,10000,1.31,100,2023-09-13 08:25:35,2023-09-13 17:25:35
1832743,Yeoju,127.6339,37.2958,501,Rain,291.81,100,8000,1.54,100,2023-09-13 08:26:48,2023-09-13 17:26:48
1832771,Yesan,126.8427,36.6776,502,Rain,293.98,99,4061,1.58,100,2023-09-13 08:26:08,2023-09-13 17:26:08
1832798,Yecheon,128.4569,36.6556,501,Rain,292.61,96,10000,1.88,100,2023-09-13 08:26:49,2023-09-13 17:26:49
1832809,Yangyang,128.6211,38.0739,500,Rain,292.48,100,10000,3.09,100,2023-09-13 08:24:33,2023-09-13 17:24:33
1832828,Yangsan,129.0386,35.3386,803,Clouds,302.11,70,10000,3.09,75,2023-09-13 08:26:51,2023-09-13 17:26:51
1832830,Yangp'yŏng,127.4906,37.4897,501,Rain,291.78,100,8000,1.54,100,2023-09-13 08:26:27,2023-09-13 17:26:27
1832847,Yangju,127.0617,37.8331,502,Rain,294.25,93,10000,1.3,100,2023-09-13 08:22:40,2023-09-13 17:22:40
1787601,Yanggu,115.7753,36.1106,800,Clear,301.03,44,10000,3.36,2,2023-09-13 08:26:52,2023-09-13 17:26:52
1832973,Yach’on,126.8158,35.1303,501,Rain,295.14,88,10000,1.52,100,2023-09-13 08:22:12,2023-09-13 17:22:12
1833105,Wŏnju,127.9453,37.3514,501,Rain,291.04,98,9305,1.33,100,2023-09-13 08:26:53,2023-09-13 17:26:53
1833466,Wanju,127.1475,35.8451,501,Rain,293.86,97,10000,1.72,100,2023-09-13 08:26:54,2023-09-13 17:26:54
1833514,Chilgok,128.3973,35.9917,501,Rain,300.2,94,10000,1.49,100,2023-09-13 08:26:54,2023-09-13 17:26:54
1833581,Unsal-li,127.2047,38.0542,501,Rain,293.99,100,8000,0.51,100,2023-09-13 08:26:55,2023-09-13 17:26:55
1833702,Umulmok,127.3167,38.05,501,Rain,292.51,100,8000,0.51,100,2023-09-13 08:26:55,2023-09-13 17:26:55
1833747,Ulsan,129.3167,35.5372,804,Clouds,298.49,80,10000,3.93,100,2023-09-13 08:25:38,2023-09-13 17:25:38
1833747,Ulsan,129.3167,35.5372,804,Clouds,298.49,80,10000,3.93,100,2023-09-13 08:25:38,2023-09-13 17:25:38
1833763,Ulchin,129.4,36.9929,501,Rain,294.91,93,10000,4.75,100,2023-09-13 08:26:57,2023-09-13 17:26:57
1833788,Uijeongbu-si,127.0474,37.7415,502,Rain,293.89,92,10000,1.43,100,2023-09-13 08:18:45,2023-09-13 17:18:45
1834885,Tangjin,126.6297,36.8944,502,Rain,294.05,96,4944,3.57,100,2023-09-13 08:22:55,2023-09-13 17:22:55
1835096,Taesal-li,126.4542,36.9714,501,Rain,293.84,93,7051,5.19,100,2023-09-13 08:26:59,2023-09-13 17:26:59
1835224,Daejeon,127.4167,36.3333,501,Rain,293.12,98,8927,1.24,100,2023-09-13 08:19:04,2023-09-13 17:19:04
1835224,Daejeon,127.4167,36.3333,501,Rain,293.12,98,8927,1.24,100,2023-09-13 08:19:04,2023-09-13 17:19:04
1835327,Daegu,128.55,35.8,502,Rain,299.62,74,9000,3.09,75,2023-09-13 08:21:54,2023-09-13 17:21:54
1835327,Daegu,128.55,35.8,502,Rain,299.62,74,9000,3.09,75,2023-09-13 08:21:54,2023-09-13 17:21:54
1835447,Boryeong,126.5977,36.3493,502,Rain,294.13,96,3507,2.64,100,2023-09-13 08:25:56,2023-09-13 17:25:56
1835515,T’aebaek,128.9889,37.1759,500,Rain,289.58,99,5321,1.26,100,2023-09-13 08:27:02,2023-09-13 17:27:02
1793724,Tai’an,117.12,36.1853,800,Clear,300.79,47,10000,3.47,0,2023-09-13 08:27:02,2023-09-13 17:27:02
1835553,Suwon-si,127.0089,37.2911,701,Mist,293.43,97,3200,1.54,100,2023-09-13 08:25:02,2023-09-13 17:25:02
1835648,Suncheon,127.4895,34.9481,500,Rain,298.64,75,10000,1.45,100,2023-09-13 08:24:42,2023-09-13 17:24:42
1835650,Sunchang-chodeunghakgyo,127.1428,35.3736,501,Rain,295.8,87,10000,1.41,100,2023-09-13 08:27:04,2023-09-13 17:27:04
1835841,Republic of Korea,127.5,37.0,501,Rain,292.91,98,8785,2.46,100,2023-09-13 08:26:28,2023-09-13 17:26:28
1835848,Seoul,126.9778,37.5683,502,Rain,293.89,94,6000,2.57,100,2023-09-13 08:14:05,2023-09-13 17:14:05
1835848,Seoul,126.9778,37.5683,502,Rain,293.89,94,6000,2.57,100,2023-09-13 08:14:05,2023-09-13 17:14:05
1835895,Seosan City,126.4522,36.7817,502,Rain,293.09,97,4423,2.74,100,2023-09-13 08:26:13,2023-09-13 17:26:13
1835967,Seonsan,128.2975,36.2408,803,Clouds,296.96,94,4800,0.51,75,2023-09-13 08:25:37,2023-09-13 17:25:37
1836034,Seisan-ri,128.0667,35.1,804,Clouds,300.05,84,10000,2.64,100,2023-09-13 08:27:07,2023-09-13 17:27:07
1836164,Songjeong,129.3572,35.5892,804,Clouds,298.34,81,10000,4.64,100,2023-09-13 08:24:54,2023-09-13 17:24:54
1836208,Seonghwan,127.1314,36.9156,501,Rain,293.97,94,4023,2.06,100,2023-09-13 08:25:37,2023-09-13 17:25:37
1836553,Sokcho,128.5911,38.2083,500,Rain,292.49,100,10000,3.09,100,2023-09-13 08:18:25,2023-09-13 17:18:25
1837055,Yongsan,126.9667,37.5333,502,Rain,293.72,97,6000,2.57,100,2023-09-13 08:27:09,2023-09-13 17:27:09
1837217,Sinch’ŏn-dong,127.0833,37.5167,501,Rain,293.52,100,4800,1.54,100,2023-09-13 08:27:10,2023-09-13 17:27:10
1837640,Sangok,127.6167,34.8333,804,Clouds,298.18,79,10000,2.77,100,2023-09-13 08:27:10,2023-09-13 17:27:10
1837660,Sang-ni,128.1062,36.2511,520,Rain,296.12,94,4800,0.51,75,2023-09-13 08:27:11,2023-09-13 17:27:11
1837706,Sangju,128.1606,36.4153,500,Rain,296.92,96,10000,0.72,100,2023-09-13 08:27:11,2023-09-13 17:27:11
1838069,Samcheok,129.1708,37.4406,500,Rain,293.69,95,6018,2.54,100,2023-09-13 08:27:11,2023-09-13 17:27:11
1838294,Shisen,128.0886,35.0842,804,Clouds,300.17,84,10000,2.6,100,2023-09-13 08:27:12,2023-09-13 17:27:12
1838343,Pyeongtaek-si,127.0889,36.9947,502,Rain,294.13,94,4023,2.06,100,2023-09-13 08:27:12,2023-09-13 17:27:12
1838431,Pyeong,127.0,37.0,502,Rain,294.19,94,4023,2.06,100,2023-09-13 08:27:13,2023-09-13 17:27:13
1838508,Buyeo,126.9125,36.2819,502,Rain,294.05,97,5205,1.97,100,2023-09-13 08:27:13,2023-09-13 17:27:13
1838524,Busan,129.0403,35.1028,803,Clouds,302.14,70,10000,3.09,75,2023-09-13 08:20:07,2023-09-13 17:20:07
1838524,Busan,129.0403,35.1028,803,Clouds,302.14,70,10000,3.09,75,2023-09-13 08:20:07,2023-09-13 17:20:07
1838716,Bucheon-si,126.7831,37.4989,502,Rain,294.16,94,6000,2.57,100,2023-09-13 08:22:50,2023-09-13 17:22:50
1838722,Puan,126.7319,35.7281,501,Rain,294.09,96,6472,3.06,100,2023-09-13 08:27:15,2023-09-13 17:27:15
1838740,Boseong,127.0809,34.7697,500,Rain,297.91,76,10000,1.56,100,2023-09-13 08:22:24,2023-09-13 17:22:24
1839011,Beolgyo,127.3429,34.8449,804,Clouds,298.48,77,10000,1.71,100,2023-09-13 08:27:01,2023-09-13 17:27:01
1839071,Pohang,129.365,36.0322,501,Rain,296.79,86,10000,5.04,100,2023-09-13 08:24:33,2023-09-13 17:24:33
1839652,Osan,127.0706,37.1522,501,Rain,293.9,97,4880,2.45,100,2023-09-13 08:24:10,2023-09-13 17:24:10
1839726,Asan,127.0042,36.7836,502,Rain,294.06,99,4841,1.79,100,2023-09-13 08:26:23,2023-09-13 17:26:23
1839873,Okcheon,127.568,36.3012,501,Rain,292.85,98,10000,1.24,100,2023-09-13 08:25:35,2023-09-13 17:25:35
1840179,Kosong,128.4676,38.3788,500,Rain,292.42,94,10000,0.52,100,2023-09-13 08:27:19,2023-09-13 17:27:19
1840211,Nonsan,127.0847,36.2039,501,Rain,293.03,97,6355,1.9,100,2023-09-13 08:20:01,2023-09-13 17:20:01
2042503,Namyang,129.8667,42.95,804,Clouds,291.23,68,10000,2.62,100,2023-09-13 08:27:21,2023-09-13 17:27:21
1840379,Nangen,127.3858,35.41,501,Rain,296.1,87,10000,1.23,100,2023-09-13 08:23:44,2023-09-13 17:23:44
1840421,Namp’o-ri,126.7908,35.8119,501,Rain,294.16,94,6437,4.12,100,2023-09-13 08:27:22,2023-09-13 17:27:22
1840454,Namhae,127.8944,34.8394,804,Clouds,298.17,80,10000,2.87,100,2023-09-13 08:23:46,2023-09-13 17:23:46
1840536,Naju,126.7175,35.0283,501,Rain,295.05,89,10000,2.05,100,2023-09-13 08:22:35,2023-09-13 17:22:35
1840862,Munsan,126.785,37.8594,501,Rain,294.13,90,10000,1.86,100,2023-09-13 08:27:23,2023-09-13 17:27:23
1840886,Mungyeong,128.1995,36.5946,501,Rain,296.8,96,10000,0.76,100,2023-09-13 08:25:37,2023-09-13 17:25:37
1840898,Paju,126.775,37.7611,501,Rain,294.13,89,10000,1.97,100,2023-09-13 08:27:24,2023-09-13 17:27:24
1840942,Muju,127.6614,36.0072,804,Clouds,296.03,97,10000,0.69,100,2023-09-13 08:27:25,2023-09-13 17:27:25
1840982,Muan,126.4714,34.9897,501,Rain,295.09,88,6000,5.14,100,2023-09-13 08:27:26,2023-09-13 17:27:26
1841066,Mokpo,126.3886,34.7936,500,Rain,295.18,86,10000,3.52,100,2023-09-13 08:26:23,2023-09-13 17:26:23
1841149,Miryang,128.7489,35.4933,501,Rain,300.51,90,10000,1.41,100,2023-09-13 08:23:01,2023-09-13 17:23:01
1841245,Masan,128.5725,35.2081,804,Clouds,299.99,84,10000,1.48,100,2023-09-13 08:27:14,2023-09-13 17:27:14
1841597,Gyeongsangbuk-do,128.75,36.3333,501,Rain,299.11,96,10000,1.02,100,2023-09-13 08:25:05,2023-09-13 17:25:05
1841598,Gyeongsan-si,128.7378,35.8233,502,Rain,300.01,74,9000,3.09,75,2023-09-13 08:27:29,2023-09-13 17:27:29
1841603,Gyeongju,129.2117,35.8428,501,Rain,296.77,87,10000,3.13,100,2023-09-13 08:26:18,2023-09-13 17:26:18
1841610,Gyeonggi-do,127.25,37.6,501,Rain,292.82,97,8849,1.34,100,2023-09-13 08:25:36,2023-09-13 17:25:36
1841775,Kwangyang,127.5892,34.9753,804,Clouds,297.9,78,10000,1.58,100,2023-09-13 08:25:36,2023-09-13 17:25:36
1841811,Gwangju,126.9156,35.1547,501,Rain,296.24,85,10000,1.14,100,2023-09-13 08:16:33,2023-09-13 17:16:33
1841811,Gwangju,126.9156,35.1547,501,Rain,296.24,85,10000,1.14,100,2023-09-13 08:16:33,2023-09-13 17:16:33
1841811,Gwangju,126.9156,35.1547,501,Rain,296.24,85,10000,1.14,100,2023-09-13 08:16:33,2023-09-13 17:16:33
1841909,Gwacheon,126.9892,37.4289,501,Rain,293.36,100,4800,1.54,100,2023-09-13 08:26:16,2023-09-13 17:26:16
1841919,Kuwaegwan,128.3946,36.0151,501,Rain,300.13,94,10000,1.47,100,2023-09-13 08:27:33,2023-09-13 17:27:33
1841976,Kurye,127.4644,35.2094,502,Rain,297.71,84,10000,1.06,100,2023-09-13 08:25:35,2023-09-13 17:25:35
1841988,Guri-si,127.1394,37.5986,501,Rain,293.39,100,4800,1.54,100,2023-09-13 08:27:34,2023-09-13 17:27:34
1842016,Kunwi,128.5728,36.2347,500,Rain,299.76,95,10000,0.98,100,2023-09-13 08:27:35,2023-09-13 17:27:35
1842025,Gunsan,126.7114,35.9786,501,Rain,294.09,94,6437,4.12,100,2023-09-13 08:25:36,2023-09-13 17:25:36
1842030,Gunpo,126.9469,37.3675,701,Mist,293.5,100,4800,1.54,100,2023-09-13 08:25:05,2023-09-13 17:25:05
1842153,Kinzan,127.4889,36.1031,500,Rain,292.93,98,10000,1.0,100,2023-09-13 08:27:36,2023-09-13 17:27:36
1842225,Gumi,128.336,36.1136,500,Rain,296.9,94,10000,1.43,100,2023-09-13 08:25:36,2023-09-13 17:25:36
1842485,Goyang-si,126.835,37.6564,502,Rain,294.01,94,6000,2.57,100,2023-09-13 08:26:29,2023-09-13 17:26:29
1842518,Goseong,128.3236,34.9763,804,Clouds,300.17,83,10000,1.73,100,2023-09-13 08:27:37,2023-09-13 17:27:37
1842559,Koryŏng,128.2675,35.7294,502,Rain,300.13,90,10000,1.79,100,2023-09-13 08:27:38,2023-09-13 17:27:38
1842616,Gongju,127.1247,36.4556,501,Rain,293.29,98,6660,1.67,100,2023-09-13 08:25:36,2023-09-13 17:25:36
1842754,Kyosai,128.5886,34.8503,804,Clouds,302.13,77,10000,2.93,100,2023-09-13 08:27:39,2023-09-13 17:27:39
1842781,Koyo,127.2845,34.6101,804,Clouds,298.59,79,10000,2.46,100,2023-09-13 08:27:39,2023-09-13 17:27:39
1842800,Koesan,127.7947,36.8108,501,Rain,292.7,98,10000,0.63,100,2023-09-13 08:27:40,2023-09-13 17:27:40
1842859,Koch'ang,126.7,35.4333,501,Rain,293.66,97,7186,2.17,100,2023-09-13 08:27:40,2023-09-13 17:27:40
1842936,Gimpo-si,126.7142,37.6236,502,Rain,294.16,94,6000,2.57,100,2023-09-13 08:25:16,2023-09-13 17:25:16
1842939,Kimje,126.8889,35.8017,501,Rain,294.09,97,7752,2.5,100,2023-09-13 08:27:42,2023-09-13 17:27:42
1842943,Gimhae,128.8811,35.2342,803,Clouds,302.12,70,10000,3.09,75,2023-09-13 08:27:17,2023-09-13 17:27:17
1842944,Gimcheon,128.1198,36.1218,803,Clouds,296.77,94,4800,0.51,75,2023-09-13 08:24:32,2023-09-13 17:24:32
1842966,Gijang,129.2139,35.2442,804,Clouds,302.0,73,10000,5.0,100,2023-09-13 08:22:45,2023-09-13 17:22:45
1843082,Gapyeong County,127.5106,37.831,502,Rain,294.32,99,6717,1.3,100,2023-09-13 08:27:44,2023-09-13 17:27:44
1843125,Gangwon-do,128.25,37.75,501,Rain,286.64,99,6543,0.89,100,2023-09-13 08:27:44,2023-09-13 17:27:44
1843137,Gangneung,128.8961,37.7556,501,Rain,292.46,97,2606,2.07,100,2023-09-13 08:14:37,2023-09-13 17:14:37
1843163,Ganghwa-gun,126.4856,37.7472,501,Rain,294.09,90,10000,2.68,100,2023-09-13 08:27:46,2023-09-13 17:27:46
1843491,Iksan,126.9544,35.9439,502,Rain,294.05,97,8133,2.79,100,2023-09-13 08:25:37,2023-09-13 17:25:37
